document_id,source_document_id,relative_path,file_type,framework,country,source_type,is_official,status,error,quality_score,file_hash,output_file
ccpa,ccpa,Regulations\CCPA.pdf,pdf,regulation,usa_california,official_regulation,true,success,,1.0,0beb83ccf73d82ede066f7e4154952435484410f748da09ac4329ed9afe6a43f,C:\Users\dell\OneDrive - Truemega Technology Solutions\Desktop\clean data\processed\text\ccpa.json
fcra,fcra,Regulations\FCRA.pdf,pdf,regulation,usa_federal,official_regulation,true,success,,0.9965,0b91f289e4187633b70e770552e394822f19556cfd2a1cbbec28225ffb3d84d6,C:\Users\dell\OneDrive - Truemega Technology Solutions\Desktop\clean data\processed\text\fcra.json
hipaa,hipaa,Regulations\HIPAA.pdf,pdf,regulation,usa_federal,official_regulation,true,success,,1.0,a322e3195123a0e228eb0ae6c9bec6650d8c68f29610e7bf0934da3727cc673d,C:\Users\dell\OneDrive - Truemega Technology Solutions\Desktop\clean data\processed\text\hipaa.json
hitech,hitech,Regulations\HITECH.pdf,pdf,regulation,usa_federal,official_regulation,true,success,,1.0,ab74a98128b6adec9cafa7d9fbc2a93745ee71f55c2f370b33af28207e2a4ac4,C:\Users\dell\OneDrive - Truemega Technology Solutions\Desktop\clean data\processed\text\hitech.json
sox,sox,Regulations\SOX.pdf,pdf,regulation,usa_federal,official_regulation,true,success,,1.0,7775003592f96d4377e087b3a9293d6144a6f932cb352ed6d93f0341dbe3a1b3,C:\Users\dell\OneDrive - Truemega Technology Solutions\Desktop\clean data\processed\text\sox.json
aicpa_soc2_compliance_guide_on_aws,aicpa_soc2_compliance_guide_on_aws,SOC 2\AICPA_SOC2_Compliance_Guide_on_AWS.pdf,pdf,soc2,,implementation_guide,false,success,,0.8508,48b25dc6ce8429bf3cc46f10d92df82dfc9ef0ab32fddcd56a253e261b797844,C:\Users\dell\OneDrive - Truemega Technology Solutions\Desktop\clean data\processed\text\aicpa_soc2_compliance_guide_on_aws.json
drata_a_start_to_finish_guide_on_soc_2_compliance,drata_a_start_to_finish_guide_on_soc_2_compliance,SOC 2\Drata-A-Start-to-Finish-Guide-on-SOC-2-Compliance.pdf,pdf,soc2,,implementation_guide,false,success,,0.7661,c6ebc097f8417ee19d9df464d20d95905eb8b673cd9980b6008cd763e93b5ca5,C:\Users\dell\OneDrive - Truemega Technology Solutions\Desktop\clean data\processed\text\drata_a_start_to_finish_guide_on_soc_2_compliance.json
s3_security_your_checklist_for_soc2_compliance,s3_security_your_checklist_for_soc2_compliance,SOC 2\S3-Security_Your-Checklist-for-SOC2-Compliance.pdf,pdf,soc2,,implementation_guide,false,success,,0.768,137ff82e3eb4c13befd8522d9f86844dcabbedd1bde7a2282051c383e86da1f4,C:\Users\dell\OneDrive - Truemega Technology Solutions\Desktop\clean data\processed\text\s3_security_your_checklist_for_soc2_compliance.json
soc2_compliance_checklist,soc2_compliance_checklist,SOC 2\SOC2_Compliance_-Checklist.pdf,pdf,soc2,,implementation_guide,false,success,,0.989,74173c9b9328d9cd6bc9fd37d80318035f1fc299419d444e91e31dfa882c9de1,C:\Users\dell\OneDrive - Truemega Technology Solutions\Desktop\clean data\processed\text\soc2_compliance_checklist.json
soc2_compliance_checklist_2c5e95ec,soc2_compliance_checklist,SOC 2\SOC2-Compliance-Checklist.pdf,pdf,soc2,,implementation_guide,false,success,,0.0,2c5e95ecaeb17409623b0adf8b234dcd7942ed5e5c80d9d7a7683b680c2e6952,C:\Users\dell\OneDrive - Truemega Technology Solutions\Desktop\clean data\processed\text\soc2_compliance_checklist_2c5e95ec.json
soc_2_compliance_handbook_whitepaper,soc_2_compliance_handbook_whitepaper,SOC 2\SOC-2-Compliance-Handbook_Whitepaper.pdf,pdf,soc2,,implementation_guide,false,success,,0.7825,ddd271511802751570021df810f9bb1705f45fabf47105f5772cfa96b79f65de,C:\Users\dell\OneDrive - Truemega Technology Solutions\Desktop\clean data\processed\text\soc_2_compliance_handbook_whitepaper.json
tisax_participant_handbook,tisax_participant_handbook,TISAX\TISAX Participant Handbook.pdf,pdf,tisax,,official_standard,true,success,,0.8743,d187ed07b42570d2d4cac34d3390395ae90f74c000e59081fe9a000d19785981,C:\Users\dell\OneDrive - Truemega Technology Solutions\Desktop\clean data\processed\text\tisax_participant_handbook.json
